Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,0.8470407398796145
Decision Tree,0.7317246273953159,0.4948717948717949,0.516042780748663,0.5052356020942408,0.6626185124906352
Random Forest,0.7842441447835344,0.6143790849673203,0.5026737967914439,0.5529411764705883,0.822621354207032
Gradient Boosting,0.8048261178140526,0.6736842105263158,0.5133689839572193,0.582701062215478,0.8432535069363714
XGBoost,0.7792760823278921,0.6,0.5053475935828877,0.548621190130624,0.8176199333488336
LightGBM,0.7977288857345636,0.6430868167202572,0.5347593582887701,0.583941605839416,0.8343899351571986
